,Train,Test,Val,window_size
0,67.45593475500743,181.59847262700399,79.11182047526042,24
1,67.38451782067618,181.48774472872415,79.01958870887756,48
2,67.3607381105423,181.450860563914,78.98886524836223,72
3,67.34884154001871,181.43242026964822,78.97350219090781,96
4,67.34171369075776,181.42135256131493,78.96428732077281,120
5,67.33695597648621,181.41398204167686,78.95815120538076,144
6,67.33356059392294,181.40870453516644,78.95376009941101,168
7,67.33101246356965,181.40474429130555,78.95047067801158,192
8,67.32903475761414,181.4016813437144,78.94791270891825,216
9,67.32744673093161,181.39921180407205,78.94585841496786,240
10,67.32615478038787,181.39721326828,78.94418603579203,264
11,67.3250700155894,181.3955440203349,78.94279396533966,288
12,67.32415943940481,181.39410904248555,78.94160996278129,312
13,67.32337498664856,181.3928923447927,78.94060073693593,336
14,67.32269550164541,181.39183996518454,78.93971718152365,360
15,67.32209941546124,181.3909265200297,78.93895374933878,384
16,67.32157448927562,181.3901067574819,78.93827679951984,408
17,67.32110668818156,181.38938517570497,78.93768137296043,432
18,67.32069272994995,181.38874607086186,78.9371331055959,456
19,67.32031429608664,181.38815590540568,78.93664935429892,480
20,67.31997265021006,181.38762679100037,78.93621284166971,504
21,67.31967062950135,181.3871641476949,78.93581324418385,528
22,67.31938632329305,181.38671404520673,78.93545004526776,552
23,67.31912773450216,181.38632265726724,78.93511702219645,576
24,67.318892288208,181.38595668474832,78.93480899333954,600
25,67.31867167949677,181.38561711311343,78.93452750841776,624
26,67.31846675872804,181.38530298868815,78.93426082134248,648
27,65.8845044374466,178.95438021024066,77.09071920712789,672
